dopage_id,edition,athlete,country,medal,event,sport,sex
1,1904 Summer Olympics,Jack Egan,United States,Silver,"Boxing, Men's Lightweight (Z)",Boxing,Male
2,1904 Summer Olympics,Jack Egan,United States,Bronze,"Boxing, Men's Welterweight (Z)",Boxing,Male
3,1948 Summer Olympics,Equestrian team ( Gehnäll Persson ),Sweden,Gold,"Equestrian, Team dressage (Z)",Equestrian,Mixed
4,1968 Summer Olympics,Modern Pentathlon team ( Hans-Gunnar Liljenwall ),Sweden,Bronze,"Modern pentathlon, Team",Modern pentathlon,Mixed
5,1972 Summer Olympics,Bakhvain Buyadaa,Mongolia,Silver,"Judo, Men's 63 kg (X)",Judo,Male
6,1972 Summer Olympics,Cycling team ( Aad van den Hoek ),Netherlands,Bronze,"Cycling, Men's team time trial (X)",Cycling,Male
7,1972 Summer Olympics,Jaime Huélamo,Spain,Bronze,"Cycling, Men's individual road race (X)",Cycling,Male
8,1972 Summer Olympics,Rick DeMont,United States,Gold,"Swimming, Men's 400 m freestyle",Swimming,Male
9,1976 Winter Olympics,Galina Kulakova,Soviet Union,Bronze,"Cross-Country Skiing, Women's 5 km",Cross-Country Skiing,Female
10,1976 Summer Olympics,Valentin Khristov,Bulgaria,Gold,"Weightlifting, Men's 110 kg",Weightlifting,Male
11,1976 Summer Olympics,Blagoy Blagoev,Bulgaria,Silver,"Weightlifting, Men's 82.5 kg",Weightlifting,Male
12,1976 Summer Olympics,Zbigniew Kaczmarek,Poland,Gold,"Weightlifting, Men's 67.5 kg",Weightlifting,Male
13,1984 Summer Olympics,Martti Vainio,Finland,Silver,"Athletics, Men's 10,000 m",Athletics,Male
14,1984 Summer Olympics,Tomas Johansson,Sweden,Silver,"Wrestling, Men's Greco-Roman +100 kg",Wrestling,Male
15,1988 Summer Olympics,Mitko Grablev,Bulgaria,Gold,"Weightlifting, Men's 56 kg",Weightlifting,Male
16,1988 Summer Olympics,Angel Guenchev,Bulgaria,Gold,"Weightlifting, Men's 67.5 kg",Weightlifting,Male
17,1988 Summer Olympics,Ben Johnson,Canada,Gold,"Athletics, Men's 100 m",Athletics,Male
18,1988 Summer Olympics,Andor Szanyi,Hungary,Silver,"Weightlifting, Men's 100 kg",Weightlifting,Male
19,1988 Summer Olympics,Kerrith Brown,Great Britain,Bronze,"Judo, Men's 71 kg",Judo,Male
20,1992 Summer Olympics,Ibragim Samadov,Unified Team,Bronze,"Weightlifting, Men's 82.5 kg (X, Z)",Weightlifting,Male
21,2000 Summer Olympics,Ashot Danielyan,Armenia,Bronze,"Weightlifting, Men's +105 kg",Weightlifting,Male
22,2000 Summer Olympics,Izabela Dragneva,Bulgaria,Gold,"Weightlifting, Women's 48 kg",Weightlifting,Female
23,2000 Summer Olympics,Ivan Ivanov,Bulgaria,Silver,"Weightlifting, Men's 56 kg",Weightlifting,Male
24,2000 Summer Olympics,Sevdalin Minchev,Bulgaria,Bronze,"Weightlifting, Men's 62 kg",Weightlifting,Male
25,2000 Summer Olympics,Gymnastics team ( Dong Fangxiao ),People's Republic of China,Bronze,"Gymnastics, Women's artistic team all-around (Z)",Gymnastics,Female
26,2000 Summer Olympics,Alexander Leipold,Germany,Gold,"Wrestling, Men's freestyle 76 kg",Wrestling,Male
27,2000 Summer Olympics,Andreea Răducan,Romania,Gold,"Gymnastics, Women's artistic individual all-around",Gymnastics,Female
28,2000 Summer Olympics,Marion Jones,United States,Gold,"Athletics, Women's 100 m (X)",Athletics,Female
29,2000 Summer Olympics,Marion Jones,United States,Gold,"Athletics, Women's 200 m",Athletics,Female
30,2000 Summer Olympics,Marion Jones,United States,Gold,"Athletics, Women's 4 × 400 metres relay",Athletics,Female
31,2000 Summer Olympics,Marion Jones,United States,Bronze,"Athletics, Women's 4 × 100 metres relay",Athletics,Female
32,2000 Summer Olympics,Marion Jones,United States,Bronze,"Athletics, Women's long jump",Athletics,Female
33,2000 Summer Olympics,"Relay team ( Antonio Pettigrew , Jerome Young )",United States,Gold,"Athletics, Men's 4 × 400 m relay",Athletics,Male
34,2000 Summer Olympics,Lance Armstrong,United States,Bronze,"Cycling, Men's road time trial (X)",Cycling,Male
