"Olympics","Athlete","Country","Medal","Event"
"1904 Summer Olympics","Jack Egan","United States","2nd place, silver medalist(s)","Boxing, Men's Lightweight (Z)"
"1904 Summer Olympics","Jack Egan","United States","3rd place, bronze medalist(s)","Boxing, Men's Welterweight (Z)"
"1948 Summer Olympics","Equestrian team ( Gehnäll Persson )","Sweden","1st place, gold medalist(s)","Equestrian, Team dressage (Z)"
"1968 Summer Olympics","Modern Pentathlon team ( Hans-Gunnar Liljenwall )","Sweden","3rd place, bronze medalist(s)","Modern pentathlon, Team"
"1972 Summer Olympics","Bakhvain Buyadaa","Mongolia","2nd place, silver medalist(s)","Judo, Men's 63 kg (X)"
"1972 Summer Olympics","Cycling team ( Aad van den Hoek )","Netherlands","3rd place, bronze medalist(s)","Cycling, Men's team time trial (X)"
"1972 Summer Olympics","Jaime Huélamo","Spain","3rd place, bronze medalist(s)","Cycling, Men's individual road race (X)"
"1972 Summer Olympics","Rick DeMont","United States","1st place, gold medalist(s)","Swimming, Men's 400 m freestyle"
"1976 Winter Olympics","Galina Kulakova","Soviet Union","3rd place, bronze medalist(s)","Cross-Country Skiing, Women's 5 km"
"1976 Summer Olympics","Valentin Khristov","Bulgaria","1st place, gold medalist(s)","Weightlifting, Men's 110 kg"
"1976 Summer Olympics","Blagoy Blagoev","Bulgaria","2nd place, silver medalist(s)","Weightlifting, Men's 82.5 kg"
"1976 Summer Olympics","Zbigniew Kaczmarek","Poland","1st place, gold medalist(s)","Weightlifting, Men's 67.5 kg"
"1984 Summer Olympics","Martti Vainio","Finland","2nd place, silver medalist(s)","Athletics, Men's 10,000 m"
"1984 Summer Olympics","Tomas Johansson","Sweden","2nd place, silver medalist(s)","Wrestling, Men's Greco-Roman +100 kg"
"1988 Summer Olympics","Mitko Grablev","Bulgaria","1st place, gold medalist(s)","Weightlifting, Men's 56 kg"
"1988 Summer Olympics","Angel Guenchev","Bulgaria","1st place, gold medalist(s)","Weightlifting, Men's 67.5 kg"
"1988 Summer Olympics","Ben Johnson","Canada","1st place, gold medalist(s)","Athletics, Men's 100 m"
"1988 Summer Olympics","Andor Szanyi","Hungary","2nd place, silver medalist(s)","Weightlifting, Men's 100 kg"
"1988 Summer Olympics","Kerrith Brown","Great Britain","3rd place, bronze medalist(s)","Judo, Men's 71 kg"
"1992 Summer Olympics","Ibragim Samadov","Unified Team","3rd place, bronze medalist(s)","Weightlifting, Men's 82.5 kg (X, Z)"
"2000 Summer Olympics","Ashot Danielyan","Armenia","3rd place, bronze medalist(s)","Weightlifting, Men's +105 kg"
"2000 Summer Olympics","Izabela Dragneva","Bulgaria","1st place, gold medalist(s)","Weightlifting, Women's 48 kg"
"2000 Summer Olympics","Ivan Ivanov","Bulgaria","2nd place, silver medalist(s)","Weightlifting, Men's 56 kg"
"2000 Summer Olympics","Sevdalin Minchev","Bulgaria","3rd place, bronze medalist(s)","Weightlifting, Men's 62 kg"
"2000 Summer Olympics","Gymnastics team ( Dong Fangxiao )","China","3rd place, bronze medalist(s)","Gymnastics, Women's artistic team all-around (Z)"
"2000 Summer Olympics","Alexander Leipold","Germany","1st place, gold medalist(s)","Wrestling, Men's freestyle 76 kg"
"2000 Summer Olympics","Andreea Răducan","Romania","1st place, gold medalist(s)","Gymnastics, Women's artistic individual all-around"
"2000 Summer Olympics","Marion Jones","United States","1st place, gold medalist(s)","Athletics, Women's 100 m (X)"
"2000 Summer Olympics","Marion Jones","United States","1st place, gold medalist(s)","Athletics, Women's 200 m"
"2000 Summer Olympics","Marion Jones","United States","1st place, gold medalist(s)","Athletics, Women's 4 × 400 metres relay"
"2000 Summer Olympics","Marion Jones","United States","3rd place, bronze medalist(s)","Athletics, Women's 4 × 100 metres relay"
"2000 Summer Olympics","Marion Jones","United States","3rd place, bronze medalist(s)","Athletics, Women's long jump"
"2000 Summer Olympics","Relay team ( Antonio Pettigrew , Jerome Young )","United States","1st place, gold medalist(s)","Athletics, Men's 4 × 400 m relay"
"2000 Summer Olympics","Lance Armstrong","United States","3rd place, bronze medalist(s)","Cycling, Men's road time trial (X)"
"2002 Winter Olympics","Alain Baxter","Great Britain","3rd place, bronze medalist(s)","Alpine Skiing, Men's slalom"
"2002 Winter Olympics","Olga Danilova","Russia","1st place, gold medalist(s)","Cross-Country Skiing, Women's 5 km + 5 km combined pursuit"
"2002 Winter Olympics","Olga Danilova","Russia","2nd place, silver medalist(s)","Cross-Country Skiing, Women's 10 km classical"
"2002 Winter Olympics","Larisa Lazutina","Russia","1st place, gold medalist(s)","Cross-Country Skiing, Women's 30 km classical"
"2002 Winter Olympics","Larisa Lazutina","Russia","2nd place, silver medalist(s)","Cross-Country Skiing, Women's 15 km freestyle mass start"
"2002 Winter Olympics","Larisa Lazutina","Russia","2nd place, silver medalist(s)","Cross-Country Skiing, Women's 5 km + 5 km combined pursuit"
"2002 Winter Olympics","Johann Mühlegg","Spain","1st place, gold medalist(s)","Cross-Country Skiing, Men's 50 km classical"
"2002 Winter Olympics","Johann Mühlegg","Spain","1st place, gold medalist(s)","Cross-Country Skiing, Men's 30 km freestyle"
"2002 Winter Olympics","Johann Mühlegg","Spain","1st place, gold medalist(s)","Cross-Country Skiing, Men's 10 km + 10 km combined pursuit"
"2004 Summer Olympics","Ivan Tsikhan","Belarus","2nd place, silver medalist(s)","Athletics, Men's hammer throw (X) – 2 medals not awarded"
"2004 Summer Olympics","Iryna Yatchenko","Belarus","3rd place, bronze medalist(s)","Athletics, Women's discus throw"
"2004 Summer Olympics","Equestrian team  (Goldfever horse, Ludger Beerbaum rider)","Germany","1st place, gold medalist(s)","Equestrian, Team show jumping"
"2004 Summer Olympics","Leonidas Sabanis","Greece","3rd place, bronze medalist(s)","Weightlifting, Men's 62 kg"
"2004 Summer Olympics","Adrián Annus","Hungary","1st place, gold medalist(s)","Athletics, Men's hammer throw"
"2004 Summer Olympics","Róbert Fazekas","Hungary","1st place, gold medalist(s)","Athletics, Men's discus throw"
"2004 Summer Olympics","Ferenc Gyurkovics","Hungary","2nd place, silver medalist(s)","Weightlifting, Men's 105 kg"
"2004 Summer Olympics","Waterford Crystal (horse, Cian O'Connor rider)","Ireland","1st place, gold medalist(s)","Equestrian, Individual show jumping"
"2004 Summer Olympics","Irina Korzhanenko","Russia","1st place, gold medalist(s)","Athletics, Women's shot put"
"2004 Summer Olympics","Svetlana Krivelyova","Russia","3rd place, bronze medalist(s)","Athletics, Women's shot put (X)"
"2004 Summer Olympics","Oleg Perepetchenov","Russia","3rd place, bronze medalist(s)","Weightlifting, Men's 77 kg"
"2004 Summer Olympics","Yuriy Bilonoh","Ukraine","1st place, gold medalist(s)","Athletics, Men's shot put"
"2004 Summer Olympics","Rowing team ( Olena Olefirenko )","Ukraine","3rd place, bronze medalist(s)","Rowing, Women's quadruple sculls"
"2004 Summer Olympics","Tyler Hamilton","United States","1st place, gold medalist(s)","Cycling, Men's road time trial"
"2006 Winter Olympics","Olga Pyleva","Russia","2nd place, silver medalist(s)","Biathlon, Women's individual"
"2008 Summer Olympics","Tigran Gevorg Martirosyan","Armenia","3rd place, bronze medalist(s)","Weightlifting, Men's 69 kg"
"2008 Summer Olympics","Vitaliy Rahimov","Azerbaijan","2nd place, silver medalist(s)","Wrestling, Men's Greco-Roman 60 kg"
"2008 Summer Olympics","Rashid Ramzi","Bahrain","1st place, gold medalist(s)","Athletics, Men's 1500 m"
"2008 Summer Olympics","Aksana Miankova","Belarus","1st place, gold medalist(s)","Athletics, Women's hammer throw"
"2008 Summer Olympics","Natallia Mikhnevich","Belarus","2nd place, silver medalist(s)","Athletics, Women's shot put"
"2008 Summer Olympics","Andrei Rybakou","Belarus","2nd place, silver medalist(s)","Weightlifting, Men's 85 kg"
"2008 Summer Olympics","Andrei Mikhnevich","Belarus","3rd place, bronze medalist(s)","Athletics, Men's shot put"
"2008 Summer Olympics","Nastassia Novikava","Belarus","3rd place, bronze medalist(s)","Weightlifting, Women's 53 kg"
"2008 Summer Olympics","Nadzeya Ostapchuk","Belarus","3rd place, bronze medalist(s)","Athletics, Women's shot put"
"2008 Summer Olympics","Liu Chunhong","China","1st place, gold medalist(s)","Weightlifting, Women's 69 kg"
"2008 Summer Olympics","Cao Lei","China","1st place, gold medalist(s)","Weightlifting, Women's 75 kg"
"2008 Summer Olympics","Chen Xiexia","China","1st place, gold medalist(s)","Weightlifting, Women's 48 kg"
"2008 Summer Olympics","Yarelys Barrios","Cuba","2nd place, silver medalist(s)","Athletics, Women's discus throw"
"2008 Summer Olympics","Hrysopiyi Devetzi","Greece","3rd place, bronze medalist(s)","Athletics, Women's triple jump"
"2008 Summer Olympics","Davide Rebellin","Italy","2nd place, silver medalist(s)","Cycling, Men's road race"
"2008 Summer Olympics","Relay team ( Nesta Carter )","Jamaica","1st place, gold medalist(s)","Athletics, Men's 4 × 100 m relay"
"2008 Summer Olympics","Ilya Ilyin","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Men's 94 kg"
"2008 Summer Olympics","Irina Nekrassova","Kazakhstan","2nd place, silver medalist(s)","Weightlifting, Women's 63 kg"
"2008 Summer Olympics","Taimuraz Tigiyev","Kazakhstan","2nd place, silver medalist(s)","Wrestling, Men's freestyle 96 kg"
"2008 Summer Olympics","Mariya Grabovetskaya","Kazakhstan","3rd place, bronze medalist(s)","Weightlifting, Women's +75 kg"
"2008 Summer Olympics","Asset Mambetov","Kazakhstan","3rd place, bronze medalist(s)","Wrestling, Men's Greco-Roman 96 kg"
"2008 Summer Olympics","Kim Jong-su","North Korea","2nd place, silver medalist(s)","Shooting, Men's 50 m air pistol"
"2008 Summer Olympics","Kim Jong-su","North Korea","3rd place, bronze medalist(s)","Shooting, Men's 10 m air pistol"
"2008 Summer Olympics","Equestrian team  (Camiro horse, Tony André Hansen rider)","Norway","3rd place, bronze medalist(s)","Equestrian, team show jumping"
"2008 Summer Olympics","Relay team ( Yuliya Chermoshanskaya )","Russia","1st place, gold medalist(s)","Athletics, Women's 4 × 100 m relay"
"2008 Summer Olympics","Maria Abakumova","Russia","2nd place, silver medalist(s)","Athletics, Women's javelin throw"
"2008 Summer Olympics","Khasan Baroev","Russia","2nd place, silver medalist(s)","Wrestling, Men's Greco-Roman 120 kg"
"2008 Summer Olympics","Tatyana Lebedeva","Russia","2nd place, silver medalist(s)","Athletics, Women's triple jump"
"2008 Summer Olympics","Tatyana Lebedeva","Russia","2nd place, silver medalist(s)","Athletics, Women's long jump"
"2008 Summer Olympics","Relay team ( Anastasiya Kapachinskaya , Tatyana Firova )","Russia","2nd place, silver medalist(s)","Athletics, Women's 4 × 400 m relay"
